"Sex","Age","P1","P2","P3","E1","E2","E3","N1","N2","N3"
2,60,8,12,14,18,34,16,20,2,2
2,31,30,28,13,30,25,30,18,23,25
2,27,19,14,27,16,21,13,17,10,17
2,28,20,26,18,28,26,19,25,20,25
1,54,36,28,22,30,30,32,4,2,6
2,18,14,10,14,14,10,22,27,24,26
2,47,5,14,11,26,13,24,21,26,22
2,44,21,7,11,20,34,17,13,20,4
2,57,10,24,14,32,32,34,6,18,26
2,44,6,11,4,28,20,24,30,34,24
2,19,22,18,16,29,20,30,21,22,18
1,38,18,12,12,25,30,30,8,6,8
2,39,26,17,20,28,13,22,4,1,6
1,36,25,21,15,28,31,33,2,0,4
2,43,18,5,21,11,14,15,18,28,16
1,58,36,30,16,27,27,29,4,9,4
1,56,18,32,29,13,0,21,36,36,33
2,33,19,18,20,21,11,14,27,22,23
2,48,20,20,22,18,17,18,24,35,29
1,57,23,24,19,18,16,31,5,9,13
1,34,25,21,29,16,30,26,11,6,21
1,35,34,25,20,20,19,30,10,23,10
1,56,25,22,27,21,22,25,17,7,15
2,23,3,10,22,19,27,28,4,6,15
1,21,35,26,33,24,30,26,23,24,11
1,31,25,14,19,13,18,20,30,40,24
2,35,22,19,10,26,8,23,7,2,13
2,61,10,4,17,17,12,27,7,9,12
2,20,18,23,24,24,30,33,16,8,14
2,20,24,8,20,22,32,24,4,1,14
1,31,13,19,7,26,15,27,10,5,20
2,53,3,4,15,3,10,25,6,18,12
1,51,16,8,2,25,23,27,3,2,2
1,44,8,8,12,28,14,34,10,6,8
2,47,20,16,6,28,21,23,6,5,8
2,63,15,12,2,38,19,22,7,2,6
2,28,32,32,20,38,34,26,4,0,8
1,29,14,13,15,26,25,24,7,8,6
1,50,4,2,6,20,0,1,28,23,28
1,51,29,16,28,18,29,32,5,0,9
2,63,18,10,26,8,20,20,6,16,9
2,48,24,31,8,36,32,26,7,4,20
1,37,22,24,12,18,18,24,6,8,10
1,59,24,28,32,28,24,38,8,9,18
1,20,9,4,6,19,14,15,13,0,7
1,59,14,11,13,23,2,24,1,0,2
2,19,26,19,23,27,26,27,6,9,4
2,54,18,17,9,33,29,10,19,2,13
1,31,24,13,8,29,30,26,2,2,6
1,63,22,18,31,19,27,28,10,5,3
2,20,23,14,28,8,22,24,12,25,12
2,25,32,27,25,22,33,19,2,0,4
2,23,14,5,10,21,22,20,2,0,10
2,60,20,29,25,16,21,21,29,17,22
1,46,26,9,24,13,16,28,7,3,0
1,45,9,4,15,11,2,25,10,6,11
2,33,5,10,12,24,12,20,24,11,31
1,37,16,21,24,22,19,20,12,4,14
1,52,14,5,9,18,7,20,9,1,5
2,49,16,10,12,10,18,27,9,24,21
1,49,21,13,13,20,25,38,4,4,7
1,62,14,17,19,19,32,26,4,8,16
1,26,24,23,26,13,16,15,23,12,3
1,55,30,18,30,23,16,26,17,27,22
1,20,34,29,28,18,22,27,8,8,6
2,50,15,9,9,24,15,20,9,3,7
2,41,22,8,4,14,3,28,9,15,8
1,60,13,20,15,14,10,21,10,12,12
2,44,17,14,14,16,0,12,32,35,35
1,29,17,15,18,19,24,16,9,3,9
2,65,20,21,18,26,21,25,9,18,16
1,49,7,11,10,18,8,22,17,10,19
1,35,16,13,16,14,24,26,2,4,0
2,52,24,18,26,22,4,18,24,26,29
2,38,14,12,12,28,22,15,6,2,14
2,20,20,22,14,28,22,22,16,22,34
2,42,18,8,6,25,14,24,2,9,4
2,50,14,22,19,27,15,14,20,23,12
2,40,30,29,29,14,32,33,9,7,20
1,44,25,22,18,20,17,22,18,18,23
1,37,18,10,17,10,9,24,17,22,7
1,53,23,13,13,36,32,29,4,10,2
2,27,16,10,14,28,29,16,1,0,13
2,48,11,12,15,19,20,14,11,16,10
1,28,20,36,31,16,12,26,20,38,35
2,26,16,26,21,15,8,12,33,31,32
1,41,23,10,16,20,23,27,5,8,10
2,26,17,18,20,18,29,31,4,2,7
2,59,14,16,14,13,3,13,22,28,26
1,58,14,30,22,20,18,20,26,29,28
1,23,23,18,15,22,22,31,10,14,25
1,32,27,19,19,25,16,21,1,26,18
1,60,17,20,13,23,20,18,14,26,19
2,54,15,26,14,24,29,7,19,17,24
2,35,24,22,4,38,32,32,20,34,26
1,42,25,16,29,15,24,17,19,22,18
1,20,25,19,29,24,22,31,11,14,16
2,51,18,22,17,28,26,24,6,26,24
1,22,17,6,4,28,27,27,2,0,0
2,27,23,16,32,23,12,24,4,7,14
2,23,28,26,28,24,24,28,12,8,13
1,45,8,6,7,13,11,21,10,6,3
2,55,2,8,10,14,8,8,20,1,2
2,52,23,22,17,26,36,28,9,12,19
2,25,20,9,13,18,8,15,11,8,8
2,22,13,21,13,29,29,30,12,12,15
2,48,17,8,17,20,14,14,29,19,13
2,51,16,6,6,15,18,16,40,22,32
