"Sex","Age","O1","O2","O3","QD1","QD2","QD3"
1,30,0.114,1.18,2.513,0.054,1.09,-1.017
1,55,1.818,0.917,1.584,-1.485,1.031,-1.028
2,38,-0.108,0.917,1.29,1.868,1.129,-0.909
2,62,1.058,1.443,1.29,-1.851,-1.642,-0.99
1,39,0.815,0.917,-0.655,-1.936,-0.728,-2.162
2,44,-0.326,0.15,0.727,-1.269,-1.738,0.032
1,51,1.558,2.849,3.692,-0.888,1.951,-0.396
1,18,0.815,1.18,-0.018,0.81,3.499,-0.851
1,38,0.343,2.537,2.854,-1.735,2.265,-0.766
2,54,3.511,5.419,4.313,-1.175,-0.537,-0.309
2,38,3.511,2.849,1.885,-0.519,1.083,-1.179
2,32,4.128,4.237,4.313,-2.602,-0.095,-0.108
1,31,0.815,2.248,1.584,-0.068,-0.646,-1.277
2,39,1.558,2.849,0.464,-3.528,-2.131,-2.464
2,57,2.09,3.637,5.515,-1.411,0.166,-2.046
2,37,1.558,1.18,0.464,-1.374,5.177,-1.062
1,54,1.818,1.974,1.29,1.968,-2.292,1.609
2,47,1.558,1.443,0.727,-0.179,1.275,-0.89
2,42,-0.748,0.917,2.854,-0.347,-0.394,1.239
2,29,0.576,-0.331,0.464,-2.384,-0.78,-2.012
2,61,2.09,-0.094,2.854,0.945,0.921,-1.002
2,63,0.114,-0.331,0.727,1.475,1.637,-0.833
2,45,1.818,3.204,3.692,2.041,3.391,-0.398
2,59,2.09,3.204,0.464,-0.773,-0.037,-0.853
1,26,5.329,2.537,1.885,-1.606,1.403,-0.391
2,46,3.511,2.849,3.235,-0.499,0.444,1.569
2,52,0.815,0.917,-0.239,-2.999,-2.184,-1.23
2,25,1.058,1.974,2.854,-1.475,-0.309,-0.141
2,27,1.558,0.657,0.464,2.107,1.147,-0.681
2,18,3.064,4.237,4.313,-0.323,-1.68,-1.377
2,18,1.058,0.917,1.29,-0.75,-0.365,-1.215
2,47,3.064,3.204,3.235,-0.852,-0.488,-0.174
2,19,0.576,0.15,2.513,-0.607,-0.047,-4.368
1,37,3.511,5.419,5.515,0.083,1.179,-0.582
2,43,0.815,0.917,1.003,-1.473,-0.651,-1.667
1,58,-0.108,-0.331,-0.239,0.665,-0.34,-1.58
1,56,1.305,1.707,2.854,-0.383,0.812,-0.833
2,48,2.381,2.248,3.235,0.472,-1.226,-2.14
1,46,1.058,1.18,1.29,-1.951,-1.329,-1.287
2,33,4.128,5.419,5.515,-1.491,2.76,-0.31
2,18,0.114,0.917,1.584,-2.374,-1.537,-1.129
1,26,1.058,0.917,-0.018,-0.694,0.363,-1.492
1,44,2.699,1.707,3.235,-0.452,2.752,-0.964
1,36,1.558,0.15,0.464,1.039,0.505,-1.504
1,26,2.699,3.637,3.235,-1.666,7.454,-2.897
1,35,-0.539,-1.237,-0.239,-0.896,1.718,-1.885
2,30,1.058,0.657,0.464,-1.228,0.69,-2.03
1,45,3.511,2.537,3.692,-0.127,2.298,-0.446
2,23,1.558,0.657,0.727,-1.954,-3.903,-3.12
1,35,2.09,3.204,2.513,1.969,1.514,-1.635
1,25,0.815,2.537,2.513,-1.41,-2.857,-2.634
2,40,1.305,4.237,3.235,1.609,0.121,-0.308
2,51,1.058,1.18,1.003,-1.715,0.144,-2.287
1,42,1.818,0.657,0.727,-1.154,1.588,-0.214
2,23,1.305,2.248,2.193,-0.739,0.15,-0.602
2,61,3.064,2.849,5.515,3.093,0.263,-0.915
1,31,-0.956,1.707,1.29,-1.955,-1.117,-4.602
2,53,2.381,2.537,2.513,-1.095,1.81,1.668
1,18,-0.956,-1.013,0.216,-1.26,0.588,-1.37
1,30,1.305,1.707,3.235,1.187,1.29,0.538
1,44,1.818,3.637,4.313,-1.052,-1.149,-1.653
1,42,-1.81,1.707,-0.451,1.78,1.905,-0.859
2,28,5.329,5.419,5.515,-0.389,0.907,-1.594
1,29,1.818,1.443,2.513,-0.107,0.047,0.557
1,22,5.329,5.419,3.692,3.31,-0.884,-0.668
1,50,0.343,1.18,3.235,0.152,2.332,-0.597
2,63,0.114,0.917,1.29,-1.17,1.093,-0.065
1,37,1.305,4.237,4.313,0.835,1.078,-1.861
1,63,0.815,0.917,-0.018,-0.897,-0.839,-0.165
2,25,1.058,2.537,2.193,1.961,-0.992,-1.752
2,23,1.558,1.707,1.885,2.053,-0.622,-0.891
1,51,4.128,2.849,1.584,-2.773,0.193,-1.917
2,56,-1.374,0.657,1.584,1.668,1.723,0.193
1,63,4.128,0.657,2.513,1.065,1.272,0.476
1,43,4.128,3.204,3.692,0.233,1.858,-1.416
2,48,1.558,1.18,0.464,-0.738,1.854,-1.851
2,61,1.058,1.18,1.003,-0.759,0.479,-1.901
1,44,0.114,-0.094,-0.451,-0.457,0.3,-0.414
1,42,-0.108,1.18,2.854,-0.33,1.071,0.503
2,44,1.818,4.237,4.313,-1.192,0.314,-0.893
2,45,0.343,1.18,1.885,-4.226,-1.032,1.256
